Date,Revenue,COGS
2023-03-19,4784964.02,4112709.73
2023-03-20,5307878.39,4471332.24
2023-03-21,5362588.91,4723768.44
2023-03-22,5651837.45,5165100.17
2023-03-23,5539463.69,5041880.77
2023-03-24,5099572.51,4517755.77
2023-03-25,4776346.64,4317385.09
2023-03-26,5247818.48,4726985.72
2023-03-27,6010135.37,5283559.1
2023-03-28,6729839.56,6158036.9
2023-03-29,7809359.65,7220495.63
2023-03-30,11738609.58,10550239.71
2023-03-31,10979224.28,9773208.64
2023-04-01,10329213.83,9269690.44
2023-04-02,8801828.64,8192922.32
2023-04-03,8344338.17,7557084.65
2023-04-04,3713013.15,3406724.39
2023-04-05,3945739.94,3646042.75
2023-04-06,3906411.89,3449062.71
2023-04-07,3613060.65,3157486.48
2023-04-08,3587105.35,3151504.0
2023-04-09,4125152.76,3721374.85
2023-04-10,4776017.04,4171999.19
2023-04-11,4893647.23,4572339.77
2023-04-12,5486775.6,5187101.47
2023-04-13,5324874.12,4737355.7
2023-04-14,5095240.88,4466033.72
2023-04-15,5000191.01,4263872.6
2023-04-16,5507211.93,4603034.9
2023-04-17,6186009.78,5009559.09
2023-04-18,6560800.16,5569373.03
2023-04-19,6879350.59,5687325.67
2023-04-20,6470482.5,5153083.56
2023-04-21,5818078.98,4597506.0
2023-04-22,5575622.62,4483686.38
2023-04-23,6255009.59,5023947.23
2023-04-24,6958689.61,5400376.9
2023-04-25,7542182.6,6391356.16
2023-04-26,7577804.82,6524728.86
2023-04-27,8002720.99,6564574.06
2023-04-28,8506059.14,6848570.21
2023-04-29,10574338.59,8514803.38
2023-04-30,10639763.08,8610328.14
2023-05-01,10902128.0,8191410.49
2023-05-02,9098290.3,7307378.23
2023-05-03,7761733.51,6436430.11
2023-05-04,3818039.93,3088426.25
2023-05-05,3958974.08,3177213.79
2023-05-06,3644083.69,2923904.89
2023-05-07,4274652.97,3352872.62
2023-05-08,4780425.92,3751100.88
2023-05-09,4940540.07,3982368.27
2023-05-10,5327442.76,4447290.08
2023-05-11,5523150.22,4431382.5
2023-05-12,5320262.34,4276331.59
2023-05-13,5330336.18,4171637.44
2023-05-14,5781613.93,4564478.33
2023-05-15,6370174.53,4973327.88
2023-05-16,6673004.37,5401202.51
2023-05-17,6842861.4,5722794.04
2023-05-18,6975974.35,5613736.43
2023-05-19,6209632.24,4903148.84
2023-05-20,5755657.23,4562817.9
2023-05-21,5882905.92,4736414.59
2023-05-22,6437642.3,5157688.28
2023-05-23,6720490.71,5468154.12
2023-05-24,6911817.59,5882847.29
2023-05-25,7106679.91,5751330.67
2023-05-26,6141578.38,4999066.17
2023-05-27,5668910.59,4638980.03
2023-05-28,6508514.2,5218830.98
2023-05-29,7922419.09,6400842.9
2023-05-30,11596858.13,9281208.3
2023-05-31,12570724.16,10274480.68
2023-06-01,11817644.72,9685976.22
2023-06-02,9398255.87,8019744.94
2023-06-03,7530276.77,6217479.83
2023-06-04,4171929.62,3273926.67
2023-06-05,4736846.78,3777083.15
2023-06-06,4807895.38,3769783.09
2023-06-07,4879730.75,3885976.76
2023-06-08,4912192.61,3835946.34
2023-06-09,4569777.27,3652937.72
2023-06-10,4536013.44,3582193.54
2023-06-11,4904372.68,3890558.12
2023-06-12,5859020.29,4658320.01
2023-06-13,6049160.13,4927774.84
2023-06-14,6449976.17,5426943.02
2023-06-15,6473030.05,5061520.59
2023-06-16,5863766.15,4773771.7
2023-06-17,5526970.6,4402279.17
2023-06-18,5842505.75,4546406.26
2023-06-19,5900543.5,4636863.89
2023-06-20,6335664.08,5225326.91
2023-06-21,6504680.99,5462555.15
2023-06-22,6273173.62,5186767.71
2023-06-23,5752244.01,4863608.39
2023-06-24,5497437.22,4629270.28
2023-06-25,5814201.32,4993703.78
2023-06-26,6395945.54,5606024.97
2023-06-27,7086021.37,6731720.3
2023-06-28,7957533.62,7559656.94
2023-06-29,9258272.24,8760866.37
2023-06-30,8136397.27,7729577.41
2023-07-01,7245783.33,6883494.16
2023-07-02,6467228.77,6143867.33
2023-07-03,5673106.56,5389451.23
2023-07-04,1765737.24,1677450.38
2023-07-05,2485747.68,2361460.3
2023-07-06,2761051.9,2622999.3
2023-07-07,2885316.8,2735535.4
2023-07-08,2754994.56,2617244.83
2023-07-09,3451692.33,3223412.84
2023-07-10,3925579.65,3660574.08
2023-07-11,4260823.1,3999438.75
2023-07-12,4354231.52,4136519.94
2023-07-13,4448565.08,4226136.83
2023-07-14,4231823.41,3960017.28
2023-07-15,4044232.33,3836273.76
2023-07-16,4172245.99,3897139.75
2023-07-17,4356696.84,4016846.58
2023-07-18,4677060.06,4278142.62
2023-07-19,5080799.04,4607216.47
2023-07-20,5263468.58,4616589.42
2023-07-21,4649307.1,3921777.72
2023-07-22,4324882.13,3696516.32
2023-07-23,4478099.3,3773129.33
2023-07-24,4920203.26,4008579.58
2023-07-25,5144228.29,4292705.43
2023-07-26,5567400.86,4743499.38
2023-07-27,5740927.33,4700420.76
2023-07-28,5786762.73,4913124.5
2023-07-29,6018478.82,5071925.61
2023-07-30,6751443.21,5858596.65
2023-07-31,8165994.95,6803391.41
2023-08-01,7304111.46,6938905.89
2023-08-02,6329873.8,6013380.11
2023-08-03,5763637.43,5475455.56
2023-08-04,4205067.92,3928033.52
2023-08-05,2361924.21,2243828.0
2023-08-06,2376678.78,2257844.84
2023-08-07,2597939.05,2468042.1
2023-08-08,2593641.53,2463959.45
2023-08-09,2686405.21,2552084.95
2023-08-10,3145428.91,2988157.46
2023-08-11,3004551.36,2854323.79
2023-08-12,2721788.05,2585698.65
2023-08-13,2835126.16,2693369.85
2023-08-14,3270137.21,3106630.35
2023-08-15,3333152.99,3166495.34
2023-08-16,3425963.43,3254665.26
2023-08-17,3827992.37,3636592.75
2023-08-18,3420863.8,3249820.61
2023-08-19,2927342.87,2780975.73
2023-08-20,3084453.59,2930230.91
2023-08-21,3332588.49,3165959.07
2023-08-22,3398508.1,3228582.7
2023-08-23,3448561.82,3276133.73
2023-08-24,3685987.12,3501687.76
2023-08-25,3341785.92,3174696.62
2023-08-26,3306274.87,3140961.13
2023-08-27,3500426.09,3325404.79
2023-08-28,5742630.14,5455498.63
2023-08-29,7256335.64,6893518.86
2023-08-30,7528830.95,7152389.4
2023-08-31,7930579.78,7534050.79
2023-09-01,6134457.89,5827735.0
2023-09-02,3259606.23,2862362.21
2023-09-03,2579121.31,2295982.31
2023-09-04,2902828.27,2496869.55
2023-09-05,3003798.52,2603454.6
2023-09-06,2908100.87,2507291.71
2023-09-07,2953036.61,2583986.84
2023-09-08,3122217.19,2670758.24
2023-09-09,3248969.32,2821809.35
2023-09-10,3294950.32,2965396.53
2023-09-11,3842053.16,3311244.34
2023-09-12,3796132.24,3229662.6
2023-09-13,3526687.6,3056434.72
2023-09-14,3384008.48,2956223.69
2023-09-15,3399142.91,2940169.68
2023-09-16,3546364.24,3074350.14
2023-09-17,3436847.39,3121894.29
2023-09-18,3753608.9,3237546.77
2023-09-19,3533890.53,3073711.58
2023-09-20,3575053.52,3211879.18
2023-09-21,3574682.2,3226581.24
2023-09-22,3496387.26,3092050.28
2023-09-23,3638087.8,3131341.91
2023-09-24,3821031.53,3399580.17
2023-09-25,4572265.43,3965582.11
2023-09-26,4721556.02,4204471.53
2023-09-27,5374423.0,4780937.29
2023-09-28,5639486.63,4992558.95
2023-09-29,5085598.74,4468862.81
2023-09-30,5020956.95,4507088.13
2023-10-01,3852431.23,3312714.94
2023-10-02,2811540.46,2265713.09
2023-10-03,2548656.53,2089558.09
2023-10-04,2861468.59,2264856.38
2023-10-05,2541955.01,2023251.52
2023-10-06,2614740.89,2052742.43
2023-10-07,2630567.0,2077302.13
2023-10-08,2889516.13,2300922.66
2023-10-09,3097831.23,2454343.27
2023-10-10,3258411.48,2586146.44
2023-10-11,3190670.96,2512139.93
2023-10-12,3192778.5,2571283.04
2023-10-13,3077119.42,2457215.89
2023-10-14,3117767.26,2481679.46
2023-10-15,3205307.57,2576080.61
2023-10-16,3383119.12,2696140.34
2023-10-17,3252326.71,2672445.76
2023-10-18,3179279.93,2629225.51
2023-10-19,3014406.55,2430937.3
2023-10-20,2986685.59,2386357.85
2023-10-21,3020268.3,2404259.55
2023-10-22,3154420.57,2528070.37
2023-10-23,3468266.14,2708539.63
2023-10-24,3271566.71,2593744.54
2023-10-25,3388438.87,2734631.0
2023-10-26,3266194.53,2587900.25
2023-10-27,3391372.36,2683131.09
2023-10-28,4264254.78,3456366.72
2023-10-29,5394737.8,4366039.8
2023-10-30,5874594.83,4572606.84
2023-10-31,5516978.47,4518646.57
2023-11-01,4490334.61,3611290.82
2023-11-02,2608276.89,2077622.87
2023-11-03,1782813.18,1407838.31
2023-11-04,1992908.63,1592433.65
2023-11-05,2361173.34,1901313.0
2023-11-06,2410948.08,1972403.25
2023-11-07,2264646.53,1891074.48
2023-11-08,2242560.24,1833474.58
2023-11-09,2587706.11,2073520.8
2023-11-10,2779444.76,2181042.33
2023-11-11,2876387.83,2330179.36
2023-11-12,2984011.48,2402645.46
2023-11-13,3040798.63,2531189.12
2023-11-14,3086422.08,2514620.14
2023-11-15,2932073.84,2357999.6
2023-11-16,2765810.67,2227225.67
2023-11-17,2538023.33,2124393.0
2023-11-18,2567110.45,2135978.75
2023-11-19,2576571.46,2219102.85
2023-11-20,2455410.17,2259834.58
2023-11-21,2225905.04,2088174.58
2023-11-22,2083743.84,1979556.65
2023-11-23,1853628.29,1760946.88
2023-11-24,1839432.17,1747460.56
2023-11-25,2209001.61,2063068.37
2023-11-26,2683211.65,2549051.07
2023-11-27,3186675.19,3027341.43
2023-11-28,3415379.57,3227576.44
2023-11-29,2950263.21,2802750.05
2023-11-30,3045798.79,2808707.4
2023-12-01,2435571.9,2238457.93
2023-12-02,1626745.19,1407552.7
2023-12-03,1392901.26,1281323.97
2023-12-04,1411822.11,1341231.0
2023-12-05,1577118.74,1498262.8
2023-12-06,1628942.52,1547495.39
2023-12-07,1653026.04,1570374.74
2023-12-08,1656879.79,1559817.9
2023-12-09,1685292.08,1601027.48
2023-12-10,1879577.79,1785598.9
2023-12-11,2000659.15,1900626.19
2023-12-12,2393261.18,2273598.12
2023-12-13,2287475.6,2173101.82
2023-12-14,2301373.31,2159441.07
2023-12-15,2231028.79,2119477.35
2023-12-16,2069459.08,1965986.13
2023-12-17,2475827.21,2352035.85
2023-12-18,2469120.57,2345664.54
2023-12-19,2552936.04,2425289.24
2023-12-20,2533582.67,2406903.54
2023-12-21,2418981.7,2298032.62
2023-12-22,2402572.24,2282443.63
2023-12-23,2239362.17,2127394.06
2023-12-24,1986673.76,1887340.07
2023-12-25,2178359.15,2069441.19
2023-12-26,2651556.95,2518979.1
2023-12-27,3068446.27,2837185.89
2023-12-28,3806834.94,3616493.19
2023-12-29,5020409.09,4769388.64
2023-12-30,4865251.51,4621988.93
2023-12-31,4997034.43,4568973.52
2024-01-01,3882527.01,3574159.32
2024-01-02,1958204.14,1694750.81
2024-01-03,1382471.47,1078831.97
2024-01-04,1324106.75,1084805.14
2024-01-05,1628093.78,1276451.4
2024-01-06,1822685.69,1426087.27
2024-01-07,1860059.71,1527126.95
2024-01-08,2115474.97,1733712.09
2024-01-09,2207962.9,1809347.27
2024-01-10,2206066.26,1765864.14
2024-01-11,2195993.7,1821790.93
2024-01-12,2372047.92,1902980.11
2024-01-13,2384772.89,1964788.52
2024-01-14,2342881.59,1905627.42
2024-01-15,2462237.9,1995267.37
2024-01-16,2419594.66,1992788.51
2024-01-17,2361998.11,1889514.8
2024-01-18,2213880.36,1761930.26
2024-01-19,2212564.84,1797375.14
2024-01-20,2411851.3,1973162.46
2024-01-21,2516242.69,2020587.89
2024-01-22,2901179.04,2311320.36
2024-01-23,2960487.01,2427555.4
2024-01-24,2782348.67,2279334.45
2024-01-25,2571076.51,2113731.34
2024-01-26,2887713.2,2336183.67
2024-01-27,3368853.71,2721427.58
2024-01-28,4250636.71,3517101.09
2024-01-29,4818753.4,3810987.89
2024-01-30,4676814.49,3975434.64
2024-01-31,4370979.24,3658322.14
2024-02-01,3689300.71,2981522.76
2024-02-02,2469928.32,1944994.5
2024-02-03,2222138.09,1751902.59
2024-02-04,2504036.51,2043185.08
2024-02-05,2727970.0,2211013.71
2024-02-06,2638256.04,2126013.18
2024-02-07,2473196.74,2017254.32
2024-02-08,2409995.13,1926207.32
2024-02-09,2418160.24,1904879.43
2024-02-10,2885617.9,2448563.81
2024-02-11,3442150.3,2811003.06
2024-02-12,3392857.32,2841661.07
2024-02-13,3511683.53,2928775.16
2024-02-14,3104681.43,2642946.95
2024-02-15,3056034.26,2475113.0
2024-02-16,3115523.13,2487896.07
2024-02-17,3146323.4,2543501.93
2024-02-18,3474176.1,2805200.64
2024-02-19,3799721.74,3136757.11
2024-02-20,3903128.17,3161514.74
2024-02-21,3574690.23,2883960.43
2024-02-22,3500301.29,2887114.45
2024-02-23,3527478.71,2905618.48
2024-02-24,3916835.85,3337804.58
2024-02-25,5015952.94,4087595.06
2024-02-26,5990811.16,4883809.41
2024-02-27,6066188.06,5068961.47
2024-02-28,5405399.21,4265000.6
2024-02-29,4227054.77,3332065.16
2024-03-01,2127856.98,1840448.65
2024-03-02,1458224.92,1203328.05
2024-03-03,1804013.77,1383631.54
2024-03-04,2228280.7,1735799.13
2024-03-05,2897830.18,2317668.03
2024-03-06,3306087.66,2661300.82
2024-03-07,3578910.42,2958748.33
2024-03-08,3335492.68,2689060.08
2024-03-09,3283772.15,2636354.75
2024-03-10,3689428.25,3037434.33
2024-03-11,4133203.62,3318210.61
2024-03-12,4490393.97,3697987.62
2024-03-13,5040108.67,4111223.05
2024-03-14,5382240.91,4440596.62
2024-03-15,4796193.91,3810709.46
2024-03-16,4378762.02,3602150.35
2024-03-17,4807318.45,3945250.92
2024-03-18,5173223.69,4220230.51
2024-03-19,5314726.58,4467783.98
2024-03-20,5558944.53,4930802.99
2024-03-21,5429622.68,4792051.88
2024-03-22,4873395.22,4307292.6
2024-03-23,4750705.38,4255270.02
2024-03-24,5011528.74,4456724.1
2024-03-25,5527471.64,4760686.22
2024-03-26,5926997.26,5322898.17
2024-03-27,6466313.91,5940286.88
2024-03-28,6620747.7,6166982.8
2024-03-29,7548642.58,6850007.85
2024-03-30,10465490.94,9534009.04
2024-03-31,9853347.61,9145107.53
2024-04-01,10469507.98,9169132.01
2024-04-02,9157290.19,8378264.48
2024-04-03,7464083.82,6879252.6
2024-04-04,3515710.33,3188951.2
2024-04-05,3429425.55,2916978.82
2024-04-06,3493009.11,3040239.88
2024-04-07,3684013.69,3223229.94
2024-04-08,4361995.89,3857952.83
2024-04-09,4541869.35,4211909.26
2024-04-10,5043512.88,4682695.94
2024-04-11,4522590.2,4066561.66
2024-04-12,4524373.9,4019894.76
2024-04-13,4718157.29,4203746.55
2024-04-14,5121266.75,4466835.82
2024-04-15,5662153.99,4656547.21
2024-04-16,6148914.18,5355263.93
2024-04-17,6736099.91,5870512.25
2024-04-18,6257565.96,4997654.6
2024-04-19,5685025.84,4421065.91
2024-04-20,5747889.91,4461429.26
2024-04-21,6061306.01,4811982.11
2024-04-22,6756088.64,5317656.7
2024-04-23,7247718.4,5999911.4
2024-04-24,7492753.52,6301878.46
2024-04-25,7081506.75,5747111.78
2024-04-26,6333423.76,5044458.74
2024-04-27,6898799.54,5569080.64
2024-04-28,8724878.09,7080389.95
2024-04-29,11423417.62,8833757.86
2024-04-30,11499439.67,9354368.42
2024-05-01,11653935.79,9253442.77
2024-05-02,9221578.98,7446243.92
2024-05-03,6365320.83,5335948.96
2024-05-04,2951889.53,2396945.38
2024-05-05,3941192.43,3087055.06
2024-05-06,4316454.82,3481386.11
2024-05-07,4572464.02,3669638.26
2024-05-08,4965210.28,4093677.35
2024-05-09,5127022.49,4146697.79
2024-05-10,4611397.79,3640142.53
2024-05-11,4516736.92,3534076.57
2024-05-12,5008078.53,3966293.83
2024-05-13,5559229.25,4458087.67
2024-05-14,6075500.08,4863573.33
2024-05-15,6810698.72,5599642.94
2024-05-16,7030545.89,5729937.13
2024-05-17,6400068.45,5054392.46
2024-05-18,5751136.06,4465206.06
2024-05-19,5820029.05,4581589.54
2024-05-20,6100828.14,4935181.42
2024-05-21,6258044.01,5077598.82
2024-05-22,6707990.15,5663653.7
2024-05-23,6997726.01,5719002.88
2024-05-24,6111862.85,4925425.44
2024-05-25,5319896.45,4293659.42
2024-05-26,5785416.93,4580480.06
2024-05-27,6194612.65,5042222.99
2024-05-28,7170823.45,5797965.62
2024-05-29,8430398.62,6943804.02
2024-05-30,12034914.06,9550181.0
2024-05-31,11456223.7,9266558.93
2024-06-01,11008075.21,9194903.78
2024-06-02,9138953.16,7354879.2
2024-06-03,7240700.6,6114392.31
2024-06-04,4459537.05,3492835.36
2024-06-05,4928829.7,3969606.86
2024-06-06,4678497.05,3638607.3
2024-06-07,4179821.84,3270442.42
2024-06-08,4003022.22,3094671.13
2024-06-09,4481676.22,3596350.35
2024-06-10,5072039.13,3972261.48
2024-06-11,5264620.45,4196520.68
2024-06-12,6056425.89,5092693.01
2024-06-13,6046700.57,4804230.23
2024-06-14,5547671.49,4475967.71
2024-06-15,5314854.1,4265104.36
2024-06-16,5832449.13,4585641.53
2024-06-17,6017359.2,4797155.09
2024-06-18,6362836.32,5198889.02
2024-06-19,6289851.53,5198513.41
2024-06-20,6234017.23,4971845.2
2024-06-21,5509861.76,4521872.54
2024-06-22,5309015.98,4367097.03
2024-06-23,5723094.26,4736803.17
2024-06-24,6033680.27,5075101.62
2024-06-25,6614388.57,5917975.32
2024-06-26,6954392.76,6391425.5
2024-06-27,6866999.04,6466547.18
2024-06-28,6566995.76,6238645.97
2024-06-29,8190672.32,7781138.7
2024-06-30,7866467.97,7429706.09
2024-07-01,6580134.36,6251127.64
